CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4
TQRMNOQRPHMOKOCDEOJAH00714382,2021,4,1,1,44,N,93,116,1,,1,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,0,98,0,0,0
TQRMNOQYUHMMKPCDEOJAH00714383,2021,4,1,1,44,N,93,46,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,1,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,0,98,0,0,0
TQRMNOPSWHMMKRCDEOJAH00714384,2021,4,1,1,44,N,93,43,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,77500,5,6.0,4,,6.0,4,38750.0,7,7.0,5,,7.0,5,57,1,2,98,0,0,0
TQRMNOQYSHMNKTCDEOJAH00714386,2021,4,1,1,44,N,93,64,2,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,85000,6,6.0,5,,6.0,5,21250.0,4,4.0,3,,4.0,3,58,2,0,98,0,0,0
TQRMNOQXVHLLPQCDEIJAH00718674,2021,4,1,1,1,S,33,2822,1,,3,1,,4,1,1,1,,1,1,2,3,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,4,0,4,96870,7,,6,7.0,,7,24217.5,4,,4,4.0,,4,5658,1,2,98,0,0,0
TQRMNORWPHLKPRCDEIJAH00718675,2021,4,1,1,1,S,33,2344,2,,2,1,,9,1,1,1,,1,1,1,1,2,1,2,2,1,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,90000,6,,6,6.0,,6,45000.0,8,,7,8.0,,8,5472,1,2,98,0,0,0
TQRMNOPWQHKLOUCDEIJAH00714088,2021,4,1,1,1,S,33,2256,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,92000,6,,6,6.0,,6,30666.67,6,,5,6.0,,6,4405,2,1,98,0,0,0
TQRMNOQUWHLMLOCDEFIAH00714473,2021,4,1,1,43,S,2,678,2,,2,1,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,1,2,3,0,0,0
TQRMNOSQUHLMLOCDEFIAH00714474,2021,4,1,1,43,S,2,753,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,2,2,0,2,0,3,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,30100,2,2.0,2,2.0,,2,15050.0,2,3.0,2,2.0,,2,2047,1,0,98,0,0,0
TQRMNOPQVHJMMPCDEGJBF00715999,2021,4,1,1,43,S,13,622,1,,3,1,,2,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,108000,7,8.0,8,7.0,,8,54000.0,8,9.0,9,8.0,,9,656,2,0,98,0,0,0
TQRMNOPQYHJMMPCDEGJBF00675435,2021,4,1,1,43,S,13,467,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,2,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,140000,8,9.0,9,8.0,,9,46666.67,8,8.0,8,8.0,,8,484,1,0,2,0,0,0
TQRMNORRPHLMKNCDEIMBF00719842,2021,4,1,1,43,N,36,118,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,1,96,0,0,0
TQRMNORVTHKOLOCDEHIBB00662107,2021,4,1,1,40,N,22,93,2,,2,2,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,0,3,41000,2,3.0,3,,3.0,3,13666.67,2,2.0,3,,2.0,3,96,1,3,98,0,0,0
TQRMNORPRHJMKSCDEHMHF00685343,2021,4,1,1,42,N,26,130,1,,5,1,,1,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,250000,10,10.0,10,,10.0,10,62500.0,9,9.0,10,,9.0,9,199,3,0,97,0,0,0
TQRMNOQTUHMMKSCDEHMHF00714257,2021,4,1,1,42,N,26,96,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,137000,8,9.0,9,,9.0,9,68500.0,9,9.0,10,,9.0,10,126,1,0,98,0,0,0
TQRMNORVSHMMLMCDEFIAH00713647,2021,4,1,1,43,S,2,761,1,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,2,1,1,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,160000,9,9.0,9,9.0,,9,53333.33,8,9.0,9,8.0,,8,2755,1,2,98,0,0,0
TQRMNORUQHKMKUCDEFIAH00665033,2021,4,1,1,43,S,2,582,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,1,1,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,1,0,98,0,0,0
TQRMNORVSHMMLNCDEFIAH00714136,2021,4,1,1,43,S,2,623,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,2,0,4,0,0,0
TQRMNOSURHMMLPCDEFIAH00713729,2021,4,1,1,43,S,2,746,1,,5,1,,4,1,1,1,,1,1,1,2,2,2,2,5,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,1,2,98,0,0,0
TQRMNOPVVHLOLQCDEFIAH00714469,2021,4,1,1,43,S,2,1296,1,,3,2,,4,1,1,1,,1,1,1,3,2,2,2,3,2,2,0,1,1,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,2,0,98,0,0,0
TQRMNORPUHKMLNCDEFIAH00714470,2021,4,1,1,43,S,2,589,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,50000,3,3.0,3,3.0,,4,50000.0,8,8.0,8,8.0,,8,1584,1,0,98,0,0,0
TQRMNOPXVHLOLSCDEFIAH00714471,2021,4,1,1,43,S,2,908,1,,3,1,,1,1,1,1,,1,1,1,2,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,100000,7,7.0,7,7.0,,7,33333.33,6,7.0,6,6.0,,6,2866,1,0,97,0,0,0
TQRMNOQTQHKNRUCDEIJAH00663379,2021,4,1,1,1,S,33,1486,2,,2,1,,4,1,1,1,,1,1,2,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,2,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,1,2,40050,2,,2,2.0,,2,13350.0,2,,2,2.0,,2,2389,2,0,1,0,0,0
TQRMNORXTHKNRUCDEIJAH00718658,2021,4,1,1,1,S,33,670,2,,2,1,,4,1,1,1,,1,1,1,1,1,2,2,2,1,2,0,2,1,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,35000,2,,2,2.0,,2,35000.0,6,,6,6.0,,7,725,1,0,98,0,0,0
TQRMNOPVPHJLTNCDEIJAH00718659,2021,4,1,1,1,S,33,2221,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,0,4,100000,7,,6,7.0,,7,25000.0,4,,4,4.0,,5,5179,2,3,4,0,0,0
TQSMNOQXXHMMTPCDEIJAH00714150,2021,4,1,1,1,S,33,1383,2,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,0,3,45000,3,,2,3.0,,3,15000.0,2,,2,2.0,,2,1658,1,0,3,0,0,0
TQRMNOQSTHJMTQCDEIJAH00718660,2021,4,1,1,1,S,33,2170,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,0,3,0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,1,3,98,0,0,0
TQRMNOPQVHMMTQCDEIJAH00713732,2021,4,1,1,1,S,33,1651,2,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,3,0,98,0,0,0
TQRMNORPUHJOKOCDEGKDB00676383,2021,4,1,1,43,N,14,93,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,160000,9,9.0,9,,9.0,10,53333.33,8,9.0,9,,9.0,9,200,1,2,98,0,0,0
TQRMNOSRYHJNKPCDEGKDB00676362,2021,4,1,1,43,N,14,90,1,,2,2,,4,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,2,2,0,2,0,8,,2,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,6000,1,1.0,1,,1.0,1,3000.0,1,1.0,1,,1.0,1,78,1,0,98,0,0,0
TQRMNOTPWHLOKNCDEGKDB00716279,2021,4,1,1,43,N,14,146,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,1,1,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,130000,8,9.0,9,,9.0,9,26000.0,5,5.0,5,,5.0,6,201,2,0,98,0,0,0
TQRMNOPQPHJMKQCDEGKDB00676327,2021,4,1,1,43,N,14,106,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,2,98,0,0,0
TQRMNOQQYHKMKQCDEGKDB00661288,2021,4,1,1,43,N,14,89,2,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,3,98,0,0,0
TQRMNOPYWHLMKOCDEGKDB00716280,2021,4,1,1,43,N,14,68,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,46000,3,3.0,3,,3.0,4,23000.0,4,4.0,4,,5.0,6,137,1,2,98,0,0,0
TQSMNOPUWHMOKOCDEGLDF00716393,2021,4,1,1,41,N,15,185,1,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,2,1,1,2,2,2,0,0,0,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,47000,3,3.0,4,,3.0,4,23500.0,4,5.0,6,,5.0,7,179,1,0,2,0,0,0
TQRMNORVYHMOKQCDEGLDF00714313,2021,4,1,1,41,N,15,157,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,2,,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,2,40000,2,3.0,3,,3.0,3,20000.0,3,4.0,5,,4.0,5,168,1,0,98,0,0,0
TQRMNOPURHLKKNCDEGLDF00716394,2021,4,1,1,41,N,15,182,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,5,2,3,90000,6,7.0,8,,7.0,8,18000.0,3,3.0,4,,3.0,5,231,96,0,2,0,0,0
TQRMNOQSPHJOKOCDEGLDF00677496,2021,4,1,1,41,N,15,128,1,,3,2,,4,2,1,1,,1,1,2,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,21000,1,1.0,1,,1.0,1,5250.0,1,1.0,1,,1.0,1,119,1,0,98,0,0,0
TQRMNOPTWHJKKQCDEGLDF00677405,2021,4,1,1,41,N,15,110,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,2,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,140000,8,9.0,9,,9.0,10,70000.0,9,10.0,10,,10.0,10,133,96,0,96,0,0,0
TQRMNOQTUHKOKPCDEGLDF00661528,2021,4,1,1,41,N,15,161,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,1,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,1,3,85000,6,6.0,7,,6.0,8,21250.0,4,4.0,5,,4.0,6,187,2,0,3,0,0,0
TQSMNOQSVHJMKSCDEGLDF00677441,2021,4,2,1,41,N,15,172,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,6,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,40000,2,2.0,3,,2.0,3,20000.0,3,4.0,5,,4.0,5,184,1,0,98,0,0,0
TQRMNOSUPHLMLNCDEGNFJ00716523,2021,4,1,1,44,N,17,369,1,,4,1,,2,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,2,3,96000,7,7.0,5,,7.0,6,19200.0,3,3.0,2,,4.0,2,591,1,0,2,3,0,0
TQRMNORVSHLMLPCDEGNFJ00716524,2021,4,1,1,44,N,17,284,1,,4,1,,4,1,1,1,,1,1,1,1,2,2,2,4,3,2,0,1,2,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,5,2,3,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,2,0,3,0,0,0
TQRMNORSSHLMLQCDEGNFJ00716525,2021,4,1,1,44,N,17,210,1,,5,1,,7,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,2,98,0,0,0
TQRMNOPUSHJMLQCDEGNFJ00702667,2021,4,1,1,44,N,17,198,1,,3,1,,3,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,2,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,4,0,4,50000,3,3.0,2,,4.0,2,12500.0,2,2.0,1,,2.0,1,315,1,0,2,3,4,0
TQRMNOPPQHMOLPCDEGNFJ00714305,2021,4,1,1,44,N,17,309,1,,3,1,,4,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,1,3,134000,8,9.0,7,,9.0,7,33500.0,6,7.0,5,,7.0,5,411,1,0,2,0,0,0
TQRMNOQPYHKMPUCDEIJAH00663642,2021,4,1,1,1,S,33,1573,1,,3,1,,2,1,1,2,,1,1,1,2,2,2,2,3,1,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,64000,4,,4,4.0,,4,32000.0,6,,6,6.0,,6,2285,2,0,98,0,0,0
TQRMNOQYRHMOQRCDEIJAH00718661,2021,4,1,1,1,S,33,2635,1,,4,1,,2,1,1,1,,1,1,1,3,2,2,2,4,3,2,0,1,2,2,2,0,2,0,1,,1,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,0,5,0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,2,4,1,3,0,0
TQRMNOSPRHMKSRCDEIJAH00718662,2021,4,1,1,1,S,33,1648,2,,3,1,,9,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,1,1,2,0,2,0,6,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,1,3,0,12,,12,12.0,,12,0.0,12,,12,12.0,,12,0,2,0,98,0,0,0
TQRMNOQWTHMMSSCDEIJAH00718663,2021,4,1,1,1,S,33,658,1,,3,1,,4,1,1,1,,1,1,1,1,1,2,2,3,1,2,0,1,1,1,2,0,2,0,4,,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,0,1,15000,1,,1,1.0,,1,15000.0,2,,2,2.0,,2,730,1,0,98,0,0,0
TQRMNOPQSHLOTOCDEIJAH00718664,2021,4,1,1,1,S,33,1398,1,,5,1,,4,1,1,1,,1,1,1,1,2,2,2,5,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,155000,9,,9,9.0,,9,38750.0,7,,7,7.0,,7,2476,1,2,98,0,0,0
TQRMNOPWTHJNKNCDEGJBF00675444,2021,4,2,1,43,S,13,246,1,,1,1,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,1,2,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,2,34500,2,2.0,2,2.0,,2,11500.0,2,2.0,1,2.0,,2,252,1,0,98,0,0,0
TQRMNORQUHJOKOCDEGJBF00700590,2021,4,2,1,43,S,13,753,1,,3,2,,2,2,1,1,,1,1,1,1,1,2,2,4,3,1,1,1,2,2,2,0,2,0,1,,2,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,6,2,4,43000,2,3.0,3,2.0,,3,7166.67,1,1.0,1,1.0,,1,830,2,0,98,0,0,0
TQRMNORRWHKMKPCDEGJBF00675491,2021,4,1,1,43,S,13,750,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,4,1,2,0,1,2,2,2,0,2,0,1,,1,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,0,2,25000,1,1.0,1,1.0,,1,12500.0,2,2.0,2,2.0,,2,731,2,0,98,0,0,0
TQRMNOPYQHMMKTCDEHMHF00714258,2021,4,1,1,42,N,26,241,2,,3,2,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,2,2,2,0,0,0,0,1,,2,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,2,98,0,0,0
TQRMNOPYSHMMKTCDEHMHF00714428,2021,4,1,1,42,N,26,106,2,,1,2,,1,1,1,1,,1,1,1,1,2,2,2,1,1,2,0,2,2,2,0,0,0,0,2,,2,,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,20000,1,1.0,1,,1.0,1,10000.0,1,1.0,1,,1.0,2,140,1,0,2,0,0,0
TQRMNOPWPHKMLLCDEHMHF00662645,2021,4,1,1,42,N,26,102,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,2,2,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,75000,5,6.0,6,,6.0,5,37500.0,7,7.0,8,,7.0,7,127,1,2,98,0,0,0
TQRMNOPVXHJOLQCDEOHCH00696887,2021,4,1,1,44,N,91,89,1,,3,1,,2,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,1,2,123000,8,8.0,7,,8.0,7,41000.0,7,8.0,6,,8.0,6,88,1,0,98,0,0,0
TQRMNOPXXHMLLQCDEOHCH00714058,2021,4,1,1,44,N,91,65,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,1,50000,3,3.0,2,,3.0,2,50000.0,8,9.0,7,,9.0,7,69,1,0,98,0,0,0
TQRMNOPYPHMLLQCDEOHCH00713640,2021,4,1,1,44,N,91,142,2,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,0,1,103000,7,8.0,6,,8.0,7,103000.0,10,10.0,10,,10.0,10,147,1,0,98,0,0,0
TQRMNOQQXHKKLQCDEOHCH00720135,2021,4,1,1,44,N,91,133,1,,3,4,vinilico,2,1,1,1,,1,1,1,1,2,2,2,3,1,2,0,1,2,2,2,0,2,0,3,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,1,2,135000,8,9.0,7,,9.0,8,45000.0,8,8.0,6,,8.0,7,140,2,0,1,0,0,0
TQRMNOUQXHKKLQCDEOHCH00664136,2021,4,1,1,44,N,91,110,1,,4,1,,1,1,1,1,,1,1,1,1,2,2,2,4,2,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,63000,4,5.0,3,,5.0,3,21000.0,4,4.0,3,,4.0,3,118,2,0,98,0,0,0
TQRMNOUXXHLKLQCDEOHCH00720136,2021,4,1,1,44,N,91,158,1,,5,1,,2,1,1,1,,1,1,1,1,1,2,2,5,1,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,96,0,96,0,0,0
TQRMNOQWQHLMLLCDEHIBB00717020,2021,4,1,1,40,N,22,112,1,,2,1,,2,1,1,1,,1,1,1,1,2,2,2,2,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,6,2,4,0,12,12.0,12,,12.0,12,0.0,12,12.0,12,,12.0,12,0,1,0,98,0,0,0
TQRMNOSRXHJOLMCDEHIBB00702942,2021,4,1,1,40,N,22,279,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,105000,7,8.0,8,,8.0,8,26250.0,5,5.0,7,,5.0,6,277,1,0,98,0,0,0
TQRMNORPQHJLLNCDEHIBB00681903,2021,4,1,1,40,N,22,185,1,,3,1,,3,1,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,2,2,2,0,2,0,1,,2,,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,1,7,79800,6,6.0,6,,6.0,6,9975.0,1,1.0,2,,1.0,2,202,2,7,98,0,0,0
