CODUSU,ANO4,TRIMESTRE,NRO_HOGAR,REALIZADA,REGION,MAS_500,AGLOMERADO,PONDERA,IV1,IV1_ESP,IV2,IV3,IV3_ESP,IV4,IV5,IV6,IV7,IV7_ESP,IV8,IV9,IV10,IV11,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II4_1,II4_2,II4_3,II5,II5_1,II6,II6_1,II7,II7_ESP,II8,II8_ESP,II9,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,DECIFR,IDECIFR,RDECIFR,GDECIFR,PDECIFR,ADECIFR,IPCF,DECCFR,IDECCFR,RDECCFR,GDECCFR,PDECCFR,ADECCFR,PONDIH,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4
TQRMNOPWYHKMLLCDEHNHB00662845,2021,4,1,1,42,S,27,219,1,,4,1,,1,1,1,1,,1,1,1,3,2,2,2,4,2,2,0,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,55000,4,4.0,4,4.0,,4,27500.0,5,6.0,6,5.0,,7,221,1,2,98,0,0,0
TQRMNOPXRHKMLLCDEHNHB00662848,2021,4,1,1,42,S,27,132,1,,5,1,,2,1,1,1,,1,1,1,3,2,2,2,5,1,1,1,1,1,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,0,2,23000,1,1.0,1,1.0,,1,11500.0,2,2.0,2,2.0,,2,134,1,2,98,0,0,0
TQRMNOPUQHMMLPCDEHNHB00711717,2021,4,1,1,42,S,27,269,1,,3,1,,1,1,1,1,,1,1,1,1,2,2,2,3,2,2,0,1,2,1,2,0,2,0,1,,1,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,98000,7,7.0,8,7.0,,7,49000.0,8,8.0,9,8.0,,9,270,1,0,98,0,0,0
TQRMNOQYQHMMLPCDEHNHB00711718,2021,4,1,1,42,S,27,297,1,,3,2,,1,2,1,1,,1,1,1,1,2,2,2,4,3,1,1,2,2,2,0,0,0,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,0,4,127000,8,9.0,9,8.0,,9,31750.0,6,6.0,7,6.0,,7,285,1,0,3,0,0,0
TQRMNOSSPHKLLPCDEHNHB00662668,2021,4,1,1,42,S,27,530,1,,3,1,,1,1,1,1,,1,1,1,3,2,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,10,2,8,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,4,0,5,6,0,0
TQRMNOSQTHMOLRCDEHNHB00711728,2021,4,1,1,42,S,27,384,1,,3,1,,1,1,1,1,,1,1,1,1,1,2,2,3,3,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,0,4,86000,6,7.0,7,6.0,,7,21500.0,4,4.0,5,4.0,,5,375,1,4,2,0,0,0
TQRMNORXRHLOLSCDEHNHB00717632,2021,4,1,1,42,S,27,329,1,,3,1,,1,2,1,1,,1,1,1,1,2,2,2,3,3,2,0,1,1,2,2,0,2,0,1,,1,,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,8,2,6,71000,5,5.0,6,5.0,,5,8875.0,1,1.0,1,1.0,,1,355,2,0,98,0,0,0
TQRMNORUWHKMMNCDEIJAH00710684,2021,4,1,1,1,S,33,1000,1,,3,1,,4,1,1,2,,1,1,1,3,2,2,2,3,2,2,0,1,1,1,2,0,2,0,1,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,1,2,60000,4,,4,4.0,,4,20000.0,3,,3,3.0,,4,1595,2,0,98,0,0,0
TQRMNOSQPHLNMLCDEIKAH00719756,2021,4,1,1,43,S,34,401,1,,2,1,,4,1,1,1,,1,1,1,1,2,2,2,2,1,2,0,1,1,2,2,0,2,0,3,,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,0,2,0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,0,1,0,2,0,0,0
TQRMNOPSQHMNLUCDEIKAH00710680,2021,4,1,1,43,S,34,266,1,,3,1,,2,1,1,1,,1,1,1,1,2,1,2,3,2,2,0,1,1,1,2,0,2,0,1,,1,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,20000,1,1.0,1,1.0,,1,5000.0,1,1.0,1,1.0,,1,493,2,0,98,0,0,0
