,CODUSU,NRO_HOGAR,AGLOMERADO,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II5_1,II6_1,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,IPCF,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco,genero,edad,cob_medica,NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind_sum,adulto_equivalente,pobreza,IV9,IV10,IV11,II4_1,II4_2,II4_3,II5,II6,II7,II8,II9
12819,TQRMNOQWUHMOLQCDEHNHB00712415,1,27,1,3,1,1,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,96000,48000.0,2,0,98,0,0,0,1,1,51,1,2,9,1,1.67,57485.03,0,1,1,1,1,1,1,2,2,1,1,1
12820,TQRMNOSQQHMOLRCDEHNHB00712423,1,27,1,3,1,7,2,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,35000,35000.0,1,0,97,0,0,0,1,2,79,1,4,9,1,0.63,55555.56,0,1,1,3,1,1,1,2,2,1,1,1
12821,TQRMNOPXQHJMLRCDEHNHB00686549,1,27,1,4,1,1,1,1,1,1,2,2,2,4,3,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,1,3,88844,22211.0,2,0,3,0,0,0,1,1,69,1,6,9,1,2.96,30014.86,0,1,1,1,1,1,1,2,2,1,1,1
12822,TQRMNORYPHMLLTCDEHNHB00717726,1,27,1,5,1,1,1,1,1,1,2,2,2,5,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,0,2,95922,47961.0,2,0,1,0,0,0,1,1,72,1,6,3,0,1.5,63948.0,0,1,1,2,1,2,1,2,2,1,1,1
12823,TQSMNOQSTHKOKNCDEGKDB00661221,1,14,1,1,2,4,2,1,1,2,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,25000,8333.33,2,0,98,0,0,0,1,1,20,4,3,2,0,2.15,11627.91,1,1,1,1,2,2,2,2,2,2,2,4
12824,TQRMNOSPVHJOLQCDEHLEH00701933,1,25,2,4,1,2,1,1,1,1,2,2,2,4,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,1,3,87000,21750.0,1,2,3,0,0,0,1,2,45,1,6,3,0,3.15,27619.05,0,1,1,1,1,1,1,2,2,1,2,1
12825,TQRMNORPXHKMLNCDEGKDB00661243,1,14,1,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,3,0,3,65000,21666.67,1,2,98,0,0,0,1,2,36,1,5,3,0,2.54,25590.55,0,1,1,1,2,2,2,2,2,1,2,1
12826,TQRMNOPVWHKNKMCDEGKDB00661198,1,14,1,3,1,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,35000,17500.0,2,3,98,0,0,0,1,1,24,4,3,3,0,1.78,19662.92,1,1,1,1,2,2,1,2,2,1,2,1
12827,TQRMNOPPXHKOKNCDEGKDB00661273,1,14,1,3,2,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,4,0,4,56000,14000.0,1,0,2,0,0,0,1,2,52,4,1,9,1,3.51,15954.42,1,1,1,2,1,2,2,2,2,1,2,1
12828,TQRMNOQRYHKOKOCDEGKDB00661485,1,14,1,3,1,4,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,28000,9333.33,2,0,98,0,0,0,1,1,58,1,2,9,1,2.46,11382.11,1,1,1,1,1,1,1,2,2,1,2,1
12829,TQRMNOPQYHJMKNCDEGLDF00677431,1,15,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,1,2,65000,21666.67,6,0,98,0,0,0,1,1,29,1,4,3,0,2.42,26859.5,0,1,1,1,2,1,2,2,2,3,2,1
