,CODUSU,NRO_HOGAR,AGLOMERADO,IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV12_1,IV12_2,IV12_3,II1,II2,II3,II3_1,II5_1,II6_1,V1,V2,V21,V22,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19_A,V19_B,IX_TOT,IX_MEN10,IX_MAYEQ10,ITF,IPCF,VII1_1,VII1_2,VII2_1,VII2_2,VII2_3,VII2_4,parentesco,genero,edad,cob_medica,NIVEL_ED,CAT_OCUP,CAT_INAC,AE_ctrol_ind_sum,adulto_equivalente,pobreza,IV9,IV10,IV11,II4_1,II4_2,II4_3,II5,II6,II7,II8,II9
0,TQRMNOPSWHMMKRCDEOJAH00714384,1,93,1,3,1,1,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,2,77500,38750.0,1,2,98,0,0,0,1,1,72,1,2,9,1,1.5,51666.67,0,1,1,1,1,1,2,2,2,1,1,1
1,TQRMNOQYSHMNKTCDEOJAH00714386,1,93,2,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,1,3,85000,21250.0,2,0,98,0,0,0,1,1,38,1,4,3,0,3.13,27156.55,0,1,1,1,1,2,2,2,2,6,1,1
2,TQRMNOQXVHLLPQCDEIJAH00718674,1,33,1,3,1,4,1,1,1,1,2,2,2,3,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,4,0,4,96870,24217.5,1,2,98,0,0,0,1,1,67,1,4,3,0,3.33,29090.09,0,1,2,3,1,1,2,2,2,1,1,1
3,TQRMNORWPHLKPRCDEIJAH00718675,1,33,2,2,1,9,1,1,1,1,2,1,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,90000,45000.0,1,2,98,0,0,0,1,1,35,1,5,3,0,1.77,50847.46,0,1,1,1,1,2,1,2,2,1,1,1
4,TQRMNOPWQHKLOUCDEIJAH00714088,1,33,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,92000,30666.67,2,1,98,0,0,0,1,2,33,1,6,3,0,2.54,36220.47,0,1,1,1,1,1,1,2,2,1,1,1
5,TQRMNOSQUHLMLOCDEFIAH00714474,1,2,2,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,30100,15050.0,1,0,98,0,0,0,1,2,37,1,5,3,0,1.49,20201.34,1,1,1,1,1,1,2,2,2,3,1,1
6,TQRMNOPQVHJMMPCDEGJBF00715999,1,13,1,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,0,2,108000,54000.0,2,0,98,0,0,0,1,2,31,1,6,3,0,1.44,75000.0,0,1,1,2,1,1,1,2,2,1,1,1
7,TQRMNOPQYHJMMPCDEGJBF00675435,1,13,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,140000,46666.67,1,0,2,0,0,0,1,2,50,1,5,9,4,2.61,53639.85,0,1,1,2,1,2,1,2,2,1,1,1
8,TQRMNORVTHKOLOCDEHIBB00662107,1,22,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,0,3,41000,13666.67,1,3,98,0,0,0,1,2,83,1,7,9,1,2.4,17083.33,1,1,1,1,1,2,2,2,2,1,2,1
9,TQRMNORPRHJMKSCDEHMHF00685343,1,26,1,5,1,1,1,1,1,1,2,2,2,5,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,250000,62500.0,3,0,97,0,0,0,1,1,71,1,6,9,1,3.27,76452.6,0,1,1,1,1,1,1,2,2,1,1,1
10,TQRMNOQTUHMMKSCDEHMHF00714257,1,26,1,4,1,1,1,1,1,1,2,2,2,4,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,137000,68500.0,1,0,98,0,0,0,1,2,58,2,6,3,0,1.5899999999999999,86163.52,0,1,1,1,1,2,2,2,2,1,1,1
11,TQRMNORVSHMMLMCDEFIAH00713647,1,2,1,5,1,4,1,1,1,1,2,2,2,5,2,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,160000,53333.33,1,2,98,0,0,0,1,1,38,1,6,3,0,2.2800000000000002,70175.44,0,1,1,1,1,1,2,2,2,1,1,1
12,TQRMNORPUHKMLNCDEFIAH00714470,1,2,1,3,1,2,1,1,1,1,2,2,2,3,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,1,50000,50000.0,1,0,98,0,0,0,1,2,54,1,4,3,0,0.76,65789.47,0,1,1,1,1,1,1,2,2,1,1,1
13,TQRMNOPXVHLOLSCDEFIAH00714471,1,2,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,0,3,100000,33333.33,1,0,97,0,0,0,1,1,71,1,5,9,1,2.5,40000.0,0,1,1,2,1,1,1,2,2,1,1,1
14,TQRMNOQTQHKNRUCDEIJAH00663379,1,33,2,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,3,1,2,40050,13350.0,2,0,1,0,0,0,1,1,37,4,4,3,0,2.46,16280.49,1,1,2,1,1,2,2,2,2,2,2,1
15,TQRMNORXTHKNRUCDEIJAH00718658,1,33,2,2,1,4,1,1,1,1,1,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,35000,35000.0,1,0,98,0,0,0,1,2,25,1,5,3,0,0.76,46052.63,0,1,1,1,2,1,2,2,2,3,1,1
16,TQRMNOPVPHJLTNCDEIJAH00718659,1,33,1,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,0,4,100000,25000.0,2,3,4,0,0,0,1,1,64,1,6,2,0,3.37,29673.59,0,1,1,1,1,1,1,2,2,1,1,1
17,TQSMNOQXXHMMTPCDEIJAH00714150,1,33,2,4,1,4,1,1,1,1,2,2,2,4,3,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,0,3,45000,15000.0,1,0,3,0,0,0,1,2,63,1,2,9,1,2.43,18518.52,1,1,1,1,1,1,1,2,2,1,1,1
18,TQRMNORPUHJOKOCDEGKDB00676383,1,14,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,160000,53333.33,1,2,98,0,0,0,1,1,35,1,4,3,0,2.37,67510.55,0,1,1,1,2,1,1,2,2,1,2,1
19,TQRMNOSRYHJNKPCDEGKDB00676362,1,14,1,2,2,4,1,1,1,1,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,6000,3000.0,1,0,98,0,0,0,1,2,45,1,2,3,0,1.79,3351.96,1,1,1,1,1,1,2,2,2,8,2,1
20,TQRMNOTPWHLOKNCDEGKDB00716279,1,14,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,130000,26000.0,2,0,98,0,0,0,1,1,34,1,4,3,0,3.87,33591.73,0,1,1,1,1,1,1,2,2,3,1,1
21,TQRMNOPYWHLMKOCDEGKDB00716280,1,14,2,2,1,2,1,1,1,1,2,2,2,2,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,46000,23000.0,1,2,98,0,0,0,1,1,82,1,3,9,1,1.37,33576.64,0,1,1,1,1,2,2,2,2,1,2,1
22,TQSMNOPUWHMOKOCDEGLDF00716393,1,15,1,5,1,4,1,1,1,1,2,2,2,5,2,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,47000,23500.0,1,0,2,0,0,0,1,1,55,4,2,1,0,2.02,23267.33,1,1,1,1,2,2,2,2,2,1,2,1
23,TQRMNORVYHMOKQCDEGLDF00714313,1,15,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,2,40000,20000.0,1,0,98,0,0,0,1,2,53,4,5,2,0,1.53,26143.79,0,1,1,1,2,2,2,2,2,1,2,1
24,TQRMNOPURHLKKNCDEGLDF00716394,1,15,1,2,1,2,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,5,2,3,90000,18000.0,96,0,2,0,0,0,1,1,38,2,6,1,0,4.12,21844.66,1,1,1,1,1,1,1,2,2,1,2,1
25,TQRMNOQSPHJOKOCDEGLDF00677496,1,15,1,3,2,4,2,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4,2,2,21000,5250.0,1,0,98,0,0,0,1,2,30,1,4,9,4,2.5300000000000002,8300.4,1,1,2,1,1,2,2,2,2,6,2,1
26,TQRMNOPTWHJKKQCDEGLDF00677405,1,15,1,3,1,4,1,1,1,1,2,2,2,4,3,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,140000,70000.0,96,0,96,0,0,0,1,2,79,1,6,9,1,1.37,102189.78,0,1,1,1,1,2,2,2,2,1,2,1
27,TQRMNOQTUHKOKPCDEGLDF00661528,1,15,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,1,3,85000,21250.0,2,0,3,0,0,0,1,1,68,1,2,9,1,2.87,29616.72,0,1,1,1,2,1,2,2,2,1,2,1
28,TQSMNOQSVHJMKSCDEGLDF00677441,2,15,1,3,1,4,1,1,1,1,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,40000,20000.0,1,0,98,0,0,0,1,2,22,4,3,2,0,1.76,22727.27,1,1,1,1,1,2,2,2,2,6,2,1
29,TQRMNOSUPHLMLNCDEGNFJ00716523,1,17,1,4,1,2,1,1,1,1,2,2,2,4,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,2,3,96000,19200.0,1,0,2,3,0,0,1,2,36,1,6,3,0,3.5500000000000003,27042.25,0,1,1,1,1,2,2,2,2,1,1,1
30,TQRMNOPUSHJMLQCDEGNFJ00702667,1,17,1,3,1,3,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,4,0,4,50000,12500.0,1,0,2,3,4,0,1,2,64,1,3,9,1,3.22,15527.95,1,1,1,1,2,1,1,2,2,1,1,1
31,TQRMNOPPQHMOLPCDEGNFJ00714305,1,17,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,1,3,134000,33500.0,1,0,2,0,0,0,1,2,37,1,6,3,0,3.35,40000.0,0,1,1,1,1,2,2,2,2,1,1,1
32,TQRMNOQPYHKMPUCDEIJAH00663642,1,33,1,3,1,2,1,1,2,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,64000,32000.0,2,0,98,0,0,0,1,1,79,1,2,9,1,1.37,46715.33,0,1,1,2,1,1,1,2,2,1,1,1
33,TQRMNOQWTHMMSSCDEIJAH00718663,1,33,1,3,1,4,1,1,1,1,1,2,2,3,1,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,0,1,15000,15000.0,1,0,98,0,0,0,1,1,65,4,2,9,4,0.83,18072.29,1,1,1,1,1,1,1,2,2,4,2,1
34,TQRMNOPQSHLOTOCDEIJAH00718664,1,33,1,5,1,4,1,1,1,1,2,2,2,5,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,155000,38750.0,1,2,98,0,0,0,1,1,39,1,4,3,0,3.5,44285.71,0,1,1,1,1,1,1,2,2,1,1,1
35,TQRMNOPWTHJNKNCDEGJBF00675444,2,13,1,1,1,1,1,1,1,1,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,2,34500,11500.0,1,0,98,0,0,0,1,2,27,4,1,9,4,2.13,16197.18,1,1,1,1,1,2,2,2,2,3,2,1
36,TQRMNORQUHJOKOCDEGJBF00700590,2,13,1,3,2,2,2,1,1,1,1,2,2,4,3,1,1,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,6,2,4,43000,7166.67,2,0,98,0,0,0,1,1,39,4,3,3,0,4.83,8902.69,1,1,1,1,1,2,2,2,2,1,2,1
37,TQRMNORRWHKMKPCDEGJBF00675491,1,13,1,3,1,2,1,1,1,1,2,2,2,4,1,2,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,0,2,25000,12500.0,2,0,98,0,0,0,1,1,59,4,2,9,6,1.76,14204.55,1,1,1,1,1,2,2,2,2,1,1,1
38,TQRMNOPYSHMMKTCDEHMHF00714428,1,26,2,1,2,1,1,1,1,1,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,20000,10000.0,1,0,2,0,0,0,1,1,27,4,3,3,0,1.78,11235.96,1,1,1,1,2,2,2,2,2,2,2,3
39,TQRMNOPWPHKMLLCDEHMHF00662645,1,26,1,4,1,1,1,1,1,1,2,2,2,4,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,75000,37500.0,1,2,98,0,0,0,1,1,66,1,4,9,1,1.46,51369.86,0,1,1,1,1,2,2,2,2,1,1,1
40,TQRMNOPVXHJOLQCDEOHCH00696887,1,91,1,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,1,2,123000,41000.0,1,0,98,0,0,0,1,2,42,1,6,1,0,1.98,62121.21,0,1,1,1,1,2,2,2,2,1,1,1
41,TQRMNOPXXHMLLQCDEOHCH00714058,1,91,2,2,1,2,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0,1,50000,50000.0,1,0,98,0,0,0,1,2,24,4,5,3,0,0.76,65789.47,0,1,1,1,1,2,2,2,2,3,1,1
42,TQRMNOPYPHMLLQCDEOHCH00713640,1,91,2,2,1,2,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,0,1,103000,103000.0,1,0,98,0,0,0,1,1,39,1,3,3,0,1.0,103000.0,0,1,1,1,1,2,2,2,2,3,1,1
43,TQRMNOQQXHKKLQCDEOHCH00720135,1,91,1,3,4,2,1,1,1,1,2,2,2,3,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,1,2,135000,45000.0,2,0,1,0,0,0,1,1,37,1,4,3,0,2.11,63981.04,0,1,1,1,1,2,2,2,2,3,1,1
44,TQRMNOUQXHKKLQCDEOHCH00664136,1,91,1,4,1,1,1,1,1,1,2,2,2,4,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,0,3,63000,21000.0,2,0,98,0,0,0,1,1,45,1,4,3,0,2.54,24803.15,0,1,1,1,1,1,2,2,2,1,1,1
45,TQRMNOSRXHJOLMCDEHIBB00702942,1,22,1,3,1,1,1,1,1,1,2,2,2,3,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,105000,26250.0,1,0,98,0,0,0,1,2,50,1,6,3,0,3.26,32208.59,0,1,1,1,1,1,2,2,2,1,1,1
46,TQRMNORPQHJLLNCDEHIBB00681903,1,22,1,3,1,3,1,1,1,1,2,2,2,3,3,2,0,0,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,1,7,79800,9975.0,2,7,98,0,0,0,1,1,52,4,3,1,0,6.57,12146.12,1,1,1,1,1,2,2,2,2,1,2,1
47,TQTMNORTQHJMLNCDEGLDF00716402,1,15,3,2,1,4,1,1,1,1,2,2,2,2,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,50000,50000.0,1,0,98,0,0,0,1,1,59,1,3,9,1,1.0,50000.0,0,1,1,1,2,2,2,2,2,3,2,1
48,TQRMNOPYWHJOKMCDEGPDJ00680209,2,19,1,6,1,2,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,0,1,26000,26000.0,1,0,98,0,0,0,1,1,71,1,5,9,0,0.83,31325.3,0,1,1,1,1,1,2,2,2,4,1,1
49,TQRMNOQXQHMKKNCDEGPDJ00714253,1,19,1,3,1,4,1,1,1,1,2,1,2,3,3,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,5,2,3,85200,17040.0,1,0,98,0,0,0,1,2,45,4,5,1,0,3.94,21624.37,1,1,1,1,1,1,2,2,2,3,2,1
50,TQRMNOQVWHJOKQCDEGPDJ00702832,1,19,1,3,1,4,1,1,1,1,2,2,2,3,2,2,0,0,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,21000,21000.0,97,0,98,0,0,0,1,2,98,1,2,9,1,0.63,33333.33,0,1,1,1,1,1,2,2,2,1,1,1
51,TQRMNOQWPHJOKQCDEGPDJ00680233,1,19,1,3,1,2,2,1,1,1,2,2,2,3,3,2,0,0,0,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,4,2,2,70000,17500.0,1,2,98,0,0,0,1,1,28,1,4,3,0,2.93,23890.78,1,1,1,1,1,2,2,2,2,3,1,1
52,TQRMNOSSXHJOKQCDEGPDJ00680236,1,19,1,2,2,4,1,1,1,1,1,1,2,2,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,49800,16600.0,1,3,98,0,0,0,1,2,42,4,4,3,0,2.48,20080.65,1,1,1,2,1,2,2,2,2,1,2,1
53,TQRMNOPPXHMOKOCDEGPDJ00716795,1,19,1,3,1,3,1,1,1,1,2,2,2,3,3,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,90000,45000.0,96,0,98,0,0,0,1,2,71,1,6,9,1,1.5,60000.0,0,1,1,1,1,1,2,2,2,1,1,1
54,TQRMNOPQWHLOKNCDEGPDJ00716796,1,19,2,1,1,9,1,1,1,1,2,2,2,1,1,2,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,28000,28000.0,1,0,98,0,0,0,1,1,30,1,5,3,0,1.0,28000.0,0,1,1,1,1,2,2,2,1,3,1,1
55,TQRMNORTUHKOKOCDEGPDJ00661982,1,19,1,3,1,1,1,1,1,1,2,2,2,3,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,130000,130000.0,1,0,98,0,0,0,1,2,33,1,6,1,0,0.77,168831.17,0,1,1,1,1,1,1,2,2,3,1,1
56,TQRMNOSPPHLMKOCDEGPDJ00716797,1,19,1,2,1,2,1,1,1,1,2,2,2,2,1,2,0,0,0,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,24000,24000.0,1,0,98,0,0,0,1,2,94,1,1,9,1,0.63,38095.24,0,1,1,1,1,2,2,2,2,1,1,1
57,TQRMNOQQVHMOKPCDEGPDJ00709322,2,19,1,2,1,2,2,1,1,1,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,70000,17500.0,2,0,98,0,0,0,1,1,44,1,4,3,0,3.55,19718.31,1,1,1,1,1,2,2,2,2,4,2,1
58,TQRMNOUYPHLKLQCDEOHCH00720137,1,91,1,3,1,2,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,0,1,143000,143000.0,1,0,98,0,0,0,1,2,31,1,5,3,0,0.77,185714.29,0,1,1,1,1,2,2,2,2,3,1,1
59,TQRMNOUYQHLKLQCDEOHCH00720138,1,91,1,4,1,2,1,1,1,1,2,2,2,4,3,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,3,1,2,160000,53333.33,1,0,98,0,0,0,1,2,48,1,6,3,0,2.2199999999999998,72072.07,0,1,1,1,1,1,2,2,2,1,1,1
60,TQRMNOQRTHKNKMCDEOHCH00664015,1,91,2,3,1,9,1,1,1,1,2,2,2,3,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,71000,23666.67,1,0,98,0,0,0,1,2,70,1,2,9,1,2.29,31004.37,0,1,1,1,1,1,2,2,2,3,1,1
61,TQRMNOQRXHKNKMCDEOHCH00664018,1,91,2,3,1,9,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,3,1,2,82000,27333.33,1,0,98,0,0,0,1,2,41,1,5,3,0,2.15,38139.53,0,1,1,1,1,1,2,2,2,3,1,1
62,TQRMNORSYHKMKMCDEOHCH00664065,1,91,1,4,1,2,1,1,1,1,2,2,2,4,3,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,0,4,118000,29500.0,2,0,3,0,0,0,1,1,81,1,2,9,1,3.19,36990.6,0,1,1,2,1,1,1,2,2,2,1,1
63,TQRMNORUSHKMLQCDEFMDB00669532,1,6,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,4,1,3,73000,18250.0,1,0,2,0,0,0,1,2,45,1,4,3,0,2.76,26449.28,0,1,1,1,1,2,2,2,2,6,1,1
64,TQRMNOQQSHKNKNCDEFMDB00713555,1,6,1,2,1,1,1,1,1,1,2,2,2,2,1,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,48000,48000.0,1,0,98,0,0,0,1,2,59,1,6,9,1,0.76,63157.89,0,1,1,1,1,2,2,2,2,3,2,1
65,TQRMNOQVWHKNKPCDEFMDB00659996,1,6,1,3,2,4,2,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,3,0,3,47000,15666.67,2,3,98,0,0,0,1,1,52,4,4,2,0,2.5300000000000002,18577.08,1,1,1,1,1,2,2,2,2,6,2,1
66,TQRMNOQVXHKNKPCDEFMDB00659997,1,6,1,3,1,2,1,1,1,1,2,2,2,3,2,1,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,45000,15000.0,1,0,98,0,0,0,1,2,50,1,4,3,0,2.5300000000000002,17786.56,1,1,1,1,1,2,1,2,2,1,2,1
67,TQRMNOSWWHKOKMCDEGKDB00661349,1,14,1,2,1,4,1,1,1,1,2,2,2,2,2,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,3,41000,10250.0,2,0,98,0,0,0,1,1,35,4,2,2,0,3.2,12812.5,1,1,1,1,2,2,2,2,2,2,2,1
68,TQRMNORRSHKNKNCDEGKDB00661161,1,14,6,3,2,4,2,1,1,1,2,2,2,1,1,2,0,0,0,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,33500,11166.67,9,0,98,0,0,0,1,1,23,4,1,3,0,2.29,14628.82,1,1,1,2,2,2,2,2,2,1,3,2
69,TQRMNOQVWHJOKNCDEGKDB00702709,1,14,1,3,1,4,1,1,1,1,2,2,2,3,1,2,0,0,0,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,29000,29000.0,1,0,98,0,0,0,1,2,77,1,2,9,1,0.63,46031.75,0,1,1,1,1,2,1,2,2,1,2,1
70,TQRMNOTUSHJOKNCDEGKDB00676375,1,14,1,3,1,4,2,1,1,1,2,2,2,3,2,2,0,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,20000,10000.0,1,0,98,0,0,0,1,2,58,3,7,9,1,1.8,11111.11,1,1,1,3,2,2,2,2,2,1,1,1
71,TQRMNOSWYHMOLNCDEHLEH00714403,1,25,1,2,1,1,1,1,1,1,2,2,2,2,1,2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0,1,65000,65000.0,1,0,98,0,0,0,1,1,57,1,5,3,0,1.0,65000.0,0,1,1,1,1,1,2,2,2,3,2,1
72,TQRMNOPSUHJMLOCDEGGFB00673019,1,10,1,3,1,1,1,1,1,1,2,2,2,3,2,2,0,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,3,1,2,97000,32333.33,1,2,97,0,0,0,1,1,24,1,4,3,0,2.39,40585.77,0,1,1,1,1,1,1,2,1,1,1,1
73,TQRMNOSTRHMNLPCDEGGFB00714220,1,10,1,4,1,1,1,1,1,1,2,2,2,4,2,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,360000,180000.0,2,0,1,0,0,0,1,2,77,1,2,9,1,1.63,220858.9,0,1,1,1,1,2,2,2,2,1,1,1
